						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YOL068C	HST1	biological_process_unknown_	molecular_function_unknown_	None	None	0.635	0.528	0.365	0.62	0.502	0.615	0.714	0.586	0.589	0.741	0.482	0.722	0.793	0.735	0.578	0.681	0.926	0.626
YOL069W	NUF2	microtubule_nucleation_	structural_protein_of_cytoskeleton_	G2/M	None	0.559	0.414	0.409	0.512	0.57	0.839	0.747	0.933	0.703	0.657	0.548	0.589	0.523	0.81	0.784	0.636	0.835	0.63
YOL070C	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.554	0.746	0.332	0.318	0.406	0.775	0.771	1.117	0.916	1.121	0.796	1.295	0.751	0.875	0.804	0.716	1.153	0.996
YOL071W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.856	0.671	0.678	0.717	Null	0.7	0.666	0.78	0.691	0.796	0.711	0.772	0.603	0.801	0.739	0.676	0.696	Null
YOL072W	THP1	biological_process_unknown_	molecular_function_unknown_	None	None	0.723	0.565	0.402	0.583	0.499	0.763	0.743	0.787	0.666	1.016	0.437	0.748	0.709	0.705	0.57	0.568	0.863	0.718
YOL075C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.716	0.631	0.47	0.545	0.731	0.58	0.563	0.668	0.628	0.724	Null	0.804	0.669	0.949	0.955	0.667	0.636	Null
YOL076W	MDM20	cytoskeleton_organization_and_biogenesis*_	actin_binding_	None	None	0.493	0.374	0.291	0.444	0.592	Null	0.686	0.708	0.606	0.728	0.532	0.894	0.679	0.888	0.717	0.644	0.9	0.716
YOL077C	BRX1	biological_process_unknown_	molecular_function_unknown_	None	None	0.885	0.332	0.304	0.486	0.673	0.672	0.65	0.9	0.839	0.85	0.828	0.847	0.779	1.037	0.904	0.685	0.774	0.579
YOL080C	REX4	biological_process_unknown_	3'-5'_exonuclease_	None	None	0.81	0.316	0.431	0.48	0.706	0.633	0.797	0.661	0.619	0.822	0.537	0.801	0.766	1.136	0.677	0.572	1.006	0.813
YOL081W	IRA2	biological_process_unknown_	molecular_function_unknown_	None	None	0.726	1.285	0.596	0.561	0.827	1.023	0.759	0.7	0.599	0.857	0.64	0.794	0.552	0.962	0.883	0.613	0.993	0.742
YOL082W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.874	1.03	1.015	0.781	0.847	0.798	0.783	0.661	0.555	Null	0.574	0.762	0.735	1.04	0.784	0.579	1.023	0.889
YOL083W	None	biological_process_unknown_	molecular_function_unknown_	None	None	Null	0.702	0.951	1.012	0.678	1	0.725	0.841	0.524	0.785	0.636	0.917	0.661	Null	0.712	0.548	0.766	0.878
YOL086C	ADH1	biological_process_unknown_	acylglycerone-phosphate_reductase_	None	None	0.957	0.715	0.701	0.918	0.997	0.984	1.016	0.94	0.767	0.848	0.621	0.753	0.823	1.084	1.159	0.595	1.295	0.639
YOL087C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.741	0.571	0.645	Null	0.615	0.665	0.567	0.558	0.541	0.742	0.688	0.745	0.583	0.723	0.752	0.594	0.848	0.653
YOL088C	MPD2	biological_process_unknown_	molecular_function_unknown_	S/G2	None	0.588	0.531	0.611	0.728	0.875	0.794	0.924	0.745	0.614	0.756	0.417	0.606	0.637	0.92	0.979	0.565	1.255	0.71
YOL089C	HAL9	biological_process_unknown_	molecular_function_unknown_	None	None	0.579	0.473	0.645	0.86	0.868	Null	0.735	0.823	0.546	0.87	0.702	1.018	0.638	1.105	0.883	0.627	1.031	0.838
YOL090W	MSH2	DNA_repair_	molecular_function_unknown_	G1	G1	0.547	0.407	0.986	1.521	1.643	0.931	0.74	0.461	0.373	0.673	0.719	1.73	1.284	1.351	0.944	0.605	0.79	Null
YOL092W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.675	0.501	0.339	0.695	0.492	0.704	0.794	0.742	0.592	0.667	0.475	0.675	0.718	0.728	0.76	0.449	1	0.626
YOL093W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.777	0.393	0.609	0.808	0.862	0.774	0.598	0.779	0.704	0.947	0.715	1.132	0.808	1.019	0.797	0.755	0.754	Null
YOL094C	RFC4	leading_strand_elongation*_	adenosinetriphosphatase*_	G1	None	0.695	0.491	0.466	0.772	0.47	0.776	0.338	0.757	0.566	0.694	0.354	0.984	0.753	Null	0.712	0.436	0.957	0.656
YOL095C	HMI1	biological_process_unknown_	molecular_function_unknown_	None	None	1.163	0.672	0.662	0.777	Null	0.823	0.626	0.771	0.685	0.722	Null	0.751	0.712	0.802	0.911	0.75	0.844	Null
YOL097C	WRS1	biological_process_unknown_	tryptophan--tRNA_ligase_	None	None	0.806	0.532	0.496	0.67	0.651	0.731	0.536	0.842	0.775	0.858	0.786	0.899	0.71	0.931	0.937	0.698	0.837	0.549
YOL098C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.968	0.64	0.501	0.656	0.621	0.678	0.707	0.8	0.679	0.957	0.577	1.032	0.743	Null	0.646	0.615	0.901	0.789
YOL099C	None	biological_process_unknown_	molecular_function_unknown_	None	None	Null	0.625	0.668	0.813	0.809	0.845	0.614	0.997	0.777	0.824	Null	0.845	0.752	1.203	0.994	0.726	1.001	Null
YOL100W	PKH2	biological_process_unknown_	molecular_function_unknown_	None	None	0.894	0.672	0.552	0.689	0.595	0.732	0.725	0.726	0.65	1.009	0.555	1.019	0.746	Null	0.694	0.608	0.974	0.708
YOL102C	TPT1	tRNA_splicing_	tRNA_2'-phosphotransferase_	None	None	0.605	0.451	Null	0.616	0.537	0.711	0.746	0.684	0.584	0.727	0.501	0.831	0.761	Null	0.734	0.548	0.77	0.535
YOL103W	ITR2	transport_	molecular_function_unknown_	None	None	0.68	0.46	0.644	0.758	1.055	1.098	0.694	0.943	Null	0.854	1.066	1.087	0.896	1.351	1.438	0.82	0.89	0.448
YOL104C	NDJ1	biological_process_unknown_	molecular_function_unknown_	None	None	1.572	1.321	1.398	1.123	1.119	0.863	0.946	0.966	0.729	0.942	0.696	1.078	0.879	1.411	1.136	0.818	1.627	1.217
YOL105C	WSC3	cell_wall_organization_and_biogenesis*_	molecular_function_unknown_	None	None	1.052	0.756	1.102	0.733	0.917	0.79	0.805	0.853	0.694	0.932	0.53	0.787	0.708	1.246	1.079	0.711	1.148	0.908
YOL106W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.8	1.167	1.374	1.399	1.393	1.487	1.305	1.596	0.982	2.061	1.018	1.437	1.236	1.837	1.433	1.008	2.1	1.284
YOL107W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.887	0.59	0.907	0.874	0.985	0.904	0.918	1.037	0.726	0.99	0.622	0.911	0.743	1.144	1.045	0.634	1.14	0.964
YOL108C	INO4	phospholipid_biosynthesis_	transcription_factor_	None	None	0.869	0.545	0.584	0.719	0.677	0.708	0.642	0.644	0.518	Null	0.533	0.794	0.758	Null	0.914	0.624	1.164	Null
YOL109W	ZEO1	biological_process_unknown_	molecular_function_unknown_	None	None	0.764	0.389	0.369	0.416	0.58	0.666	0.839	1.015	0.807	1.001	0.872	1.083	0.835	1.246	1.45	0.826	1.295	0.737
YOL110W	SHR5	RAS_protein_signal_transduction*_	molecular_function_unknown_	None	None	0.757	0.5	0.535	0.467	0.561	0.687	0.812	0.617	0.556	0.806	0.5	0.826	0.811	1.065	0.8	0.586	0.958	0.853
YOL111C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.768	0.401	0.75	0.622	0.71	0.714	0.843	0.777	0.626	0.776	0.525	0.736	0.662	0.912	1.089	0.672	0.972	0.737
YOL112W	MSB4	actin_filament_organization_	molecular_function_unknown_	S/G2	None	0.63	0.509	0.518	0.652	0.671	0.85	0.974	0.702	0.591	0.655	0.45	0.872	0.769	1.06	0.983	0.781	1.125	0.868
YOL113W	SKM1	protein_phosphorylation*_	protein_serine/threonine_kinase_	None	None	0.544	0.327	0.85	0.752	Null	0.728	0.898	1.058	0.815	1.11	0.659	1.117	0.723	1.111	1.171	0.832	1.201	Null
YOL115W	TRF4	mitotic_chromosome_condensation*_	DNA-directed_DNA_polymerase_	None	None	0.616	0.286	0.457	0.648	Null	0.616	0.708	0.806	0.568	0.765	0.547	0.68	0.52	0.943	0.815	0.662	1.03	Null
YOL116W	MSN1	biological_process_unknown_	molecular_function_unknown_	None	None	0.647	0.449	0.489	0.554	0.545	0.807	0.745	0.771	0.593	Null	0.474	0.918	0.595	1.246	Null	0.601	0.865	0.779
YOL119C	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.838	0.66	0.734	0.846	0.692	0.799	1.037	0.909	0.954	1.18	0.819	0.869	0.786	Null	0.873	0.686	1.105	0.853
YOL120C	RPL18A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.832	0.698	0.552	0.799	0.773	0.858	0.79	0.64	0.676	1.163	0.735	1.023	0.833	1.659	1.076	0.719	1.219	0.821
YOL121C	RPS19A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	Null	0.532	0.529	0.538	0.592	0.639	0.806	0.647	0.758	0.98	0.736	0.92	0.911	1.073	1.032	0.659	1.109	0.736
YOL122C	SMF1	manganese_ion_transport_	manganese_ion_transporter_	None	None	0.482	0.644	Null	0.506	0.565	0.783	0.746	0.57	0.562	Null	0.51	0.863	0.714	1.463	0.998	0.66	0.9	0.59
YOL123W	HRP1	mRNA_processing_	molecular_function_unknown_	None	None	0.634	0.653	0.65	0.9	0.821	0.846	0.665	0.621	0.569	0.89	0.624	1.025	0.916	1.464	1.262	0.949	1.115	0.839
YOL124C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.594	0.164	Null	0.301	0.593	0.701	0.848	0.649	0.756	0.93	0.469	0.693	0.662	1.15	0.644	0.49	0.924	0.693
YOL125W	None	biological_process_unknown_	molecular_function_unknown_	None	None	Null	Null	0.3	0.407	0.591	0.855	0.813	0.757	0.762	0.845	0.543	0.865	0.741	0.955	0.497	0.603	0.988	0.717
YOL126C	MDH2	gluconeogenesis*_	malic_enzyme_	None	None	1.112	1.467	1.009	1.031	0.911	1.329	0.936	1.003	0.689	1.044	0.597	1.041	0.692	1.656	0.813	0.531	0.999	0.731
YOL127W	RPL25	protein_biosynthesis*_	structural_protein_of_ribosome*_	None	None	1.112	0.716	0.661	0.712	0.697	0.889	0.816	0.921	0.801	1.133	0.745	0.914	0.96	1.12	1.012	0.668	1.149	0.899
YOL128C	None	biological_process_unknown_	protein_kinase_	None	None	0.972	0.63	0.956	0.727	1.03	0.758	0.919	0.746	0.599	1.109	0.803	1.291	0.848	1.521	0.755	0.526	0.961	1.038
YOL129W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.787	0.581	0.756	0.671	0.854	0.559	0.85	0.51	0.601	0.71	0.64	0.664	0.825	0.798	0.823	0.464	0.886	0.672
YOL130W	ALR1	"di-,_tri-valent_inorganic_cation_transport_"	"di-,_tri-valent_inorganic_cation_transporter_"	None	None	0.913	0.562	0.674	0.881	1.086	1.001	0.922	0.756	0.634	1.114	0.74	1.214	0.686	1.519	0.834	0.765	0.939	1.006
YOL133W	HRT1	ubiquitin-dependent_protein_degradation*_	ubiquitin--protein_ligase*_	None	None	0.855	0.471	0.618	0.534	0.637	0.481	0.606	0.522	0.584	Null	0.627	0.641	0.716	Null	0.675	0.539	0.997	0.909
YOL135C	MED7	transcription_from_Pol_II_promoter_	RNA_polymerase_II_transcription_mediator_	None	None	0.648	0.459	0.473	0.577	0.633	0.606	0.671	0.622	0.532	Null	0.593	0.726	0.704	Null	0.749	0.564	0.948	0.891
YOL136C	PFK27	biological_process_unknown_	6-phosphofructo-2-kinase_	None	None	0.985	0.754	0.929	0.877	0.902	0.885	0.905	0.569	0.531	0.852	0.467	0.773	0.64	Null	0.593	0.445	0.817	0.767
YOL137W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.112	0.725	0.8	0.941	1.04	1.075	0.908	0.958	0.712	1.145	0.725	0.985	0.891	1.334	1.183	0.792	1.374	0.883
YOL138C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.625	0.5	0.418	0.548	0.437	0.566	0.549	Null	0.486	0.775	0.434	0.849	0.509	Null	0.594	0.509	0.656	1.017
YOL139C	CDC33	protein_synthesis_initiation*_	translation_initiation_factor_	None	None	0.803	0.42	0.52	0.544	0.68	0.595	0.751	0.602	0.688	0.811	0.766	0.76	0.791	0.914	1.045	0.549	1.033	0.631
YOL140W	ARG8	ornithine_biosynthesis_	acetylornithine_aminotransferase_	None	None	0.82	0.466	0.34	0.711	Null	0.807	0.666	0.607	0.587	0.826	0.596	0.742	0.706	1.525	0.708	0.508	0.99	0.789
YOL141W	PPM2	protein_modification_	molecular_function_unknown_	None	None	0.889	0.667	0.353	Null	0.64	0.592	0.698	0.641	0.631	0.809	0.51	0.777	0.759	0.946	0.634	0.649	0.87	0.691
YOL142W	RRP40	35S_primary_transcript_processing*_	3'-5'_exoribonuclease_	None	None	0.764	0.372	0.288	0.497	Null	0.764	0.739	0.639	0.61	Null	0.5	0.773	0.709	1.068	0.708	0.494	0.854	0.663
YOL143C	RIB4	biological_process_unknown_	molecular_function_unknown_	None	None	0.803	0.483	0.484	0.577	0.674	0.736	0.791	0.59	0.669	0.737	0.623	0.727	0.769	0.834	0.742	0.544	0.855	0.586
YOL144W	NOP8	ribosomal_large_subunit_assembly_and_maintenance*_	RNA_binding_	None	None	0.659	0.379	Null	0.545	0.546	0.709	0.644	0.679	0.59	0.866	0.461	0.829	0.617	1.077	0.542	0.513	0.84	0.718
YOL145C	CTR9	biological_process_unknown_	molecular_function_unknown_	None	None	0.711	0.676	0.392	0.589	0.635	0.692	0.684	0.653	0.653	0.856	0.657	0.886	0.726	0.988	0.907	0.684	0.934	0.681
YOL146W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.514	0.488	Null	0.597	0.544	0.746	0.6	0.495	0.513	Null	0.537	Null	0.693	1.22	0.721	0.542	0.828	0.482
YOL147C	PEX11	peroxisome_organization_and_biogenesis_	molecular_function_unknown_	None	None	0.688	0.716	0.586	1.053	0.995	0.824	0.903	0.609	0.595	0.678	0.588	0.979	1.06	1.035	0.829	0.557	0.852	0.517
YOL148C	SPT20	biological_process_unknown_	molecular_function_unknown_	None	None	0.65	0.569	0.472	0.681	0.595	0.762	0.634	0.654	0.553	0.982	0.557	0.896	0.641	1.192	0.668	0.587	0.797	0.66
YOL149W	DCP1	mRNA_catabolism_	molecular_function_unknown_	None	None	0.683	Null	0.466	0.706	0.697	0.765	0.717	0.598	0.54	0.677	0.541	0.898	0.82	0.913	0.744	0.541	0.867	0.557
YOL150C	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.443	0.814	0.764	0.803	0.612	0.767	0.611	0.507	0.443	0.681	0.409	0.643	0.559	0.96	0.651	0.507	0.8	0.573
YOL151W	GRE2	biological_process_unknown_	molecular_function_unknown_	None	None	0.495	0.693	0.747	0.804	0.703	0.606	0.69	0.471	0.529	0.554	0.471	0.57	0.584	0.766	0.703	0.548	0.814	0.577
YOL152W	FRE7	biological_process_unknown_	molecular_function_unknown_	None	None	1.335	0.582	0.711	0.615	0.835	0.647	0.85	Null	0.477	0.876	0.66	1.018	0.728	Null	0.766	0.491	0.783	1.103
YOL154W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.998	0.722	0.799	0.994	0.88	0.993	0.903	0.578	0.618	0.925	0.618	1.094	0.748	Null	0.891	0.592	1.052	1.346
YOL155C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.307	0.472	0.323	Null	0.578	0.635	0.562	0.508	0.413	0.598	0.79	1.985	1.882	2.751	2.164	1.425	1.427	0.734
YOL156W	HXT11	transport_	molecular_function_unknown_	None	None	1.225	0.792	0.92	0.793	0.989	0.724	0.809	Null	0.554	0.931	0.849	1.191	0.916	Null	0.762	0.455	0.763	1.366
YOL158C	ENB1	ferric_enterobactin_transport_	ferric_enterobactin_transporter_	G2/M	None	1.276	0.941	0.949	0.761	1.049	1.149	1.806	1.705	2.4	3.849	2.744	3.182	1.86	1.966	2.028	1.57	2.855	2.233
YOL159C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.151	0.657	0.84	0.72	0.984	Null	0.765	0.512	0.481	Null	0.499	0.708	0.801	Null	0.843	0.472	0.945	0.793
YOL161C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.848	0.465	0.668	0.645	0.871	0.745	0.669	0.484	0.503	0.586	0.565	0.745	0.746	0.986	0.733	0.489	0.881	0.635
YOL164W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.284	0.8	0.824	0.628	0.602	0.867	0.728	0.834	0.55	Null	0.519	Null	0.739	1.484	0.443	0.574	0.755	0.754
YOL165C	AAD15	biological_process_unknown_	molecular_function_unknown_	None	None	0.967	0.988	0.576	0.753	0.84	0.688	0.779	0.728	0.711	0.916	0.7	0.982	0.862	1.055	0.829	0.611	0.872	0.692
YOR001W	RRP6	35S_primary_transcript_processing_	3'-5'_exoribonuclease_	None	None	0.97	0.384	0.352	0.426	0.557	0.569	0.723	0.918	0.752	0.921	0.715	0.885	0.661	0.846	0.706	0.665	0.765	0.747
YOR002W	ALG6	protein_glycosylation_	molecular_function_unknown_	None	None	0.781	0.591	0.474	0.536	0.587	0.656	0.695	0.535	0.578	0.869	0.56	0.786	0.713	0.876	0.697	0.459	0.725	0.599
YOR004W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.828	0.366	0.275	0.55	0.617	0.802	0.764	0.644	0.663	0.942	0.574	0.778	0.733	0.921	0.624	0.558	0.724	0.617
YOR005C	DNL4	double-strand_break_repair_via_nonhomologous_end-joining_	DNA_ligase_(ATP)_	None	None	0.773	Null	0.44	0.594	0.648	0.639	0.716	Null	0.617	0.765	0.552	0.716	0.697	0.941	0.651	0.54	0.757	Null
YOR006C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.741	0.421	0.436	0.449	0.536	0.718	0.632	0.616	0.602	Null	0.457	0.705	0.642	0.718	0.429	0.51	0.784	0.618
YOR007C	SGT2	biological_process_unknown_	molecular_function_unknown_	None	None	1.141	0.637	0.739	0.977	0.941	0.905	1.041	0.969	0.939	1.063	0.869	0.96	0.875	1.151	0.963	0.756	0.958	0.704
YOR008C	SLG1	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	molecular_function_unknown_	None	None	0.73	0.634	0.633	0.83	0.683	0.666	0.63	0.57	0.532	0.782	0.528	0.885	0.732	0.863	0.555	0.527	0.696	0.61
YOR009W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.573	0.869	0.418	0.499	0.626	0.468	0.686	0.561	0.571	0.651	0.511	0.678	0.684	0.933	0.784	0.567	0.856	0.513
YOR010C	TIR2	cell_wall_organization_and_biogenesis*_	molecular_function_unknown_	None	None	0.325	0.253	0.309	0.271	0.422	0.352	0.54	0.359	0.44	0.629	0.402	0.522	0.543	0.934	0.828	0.509	0.831	0.922
YOR011W	AUS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.658	0.432	0.544	0.547	0.718	0.668	0.654	0.557	0.561	0.697	0.611	0.788	0.695	0.865	0.737	0.522	0.889	Null
YOR013W	None	biological_process_unknown_	molecular_function_unknown_	None	None	Null	0.422	0.574	0.502	0.866	0.829	0.684	0.538	0.496	Null	0.468	0.664	0.646	Null	0.71	0.566	0.92	0.92
YOR014W	RTS1	protein_biosynthesis_	protein_phosphatase_type_2A_	None	None	1.059	0.718	0.936	0.837	0.817	0.738	0.745	0.722	0.603	1.041	0.622	1.142	0.762	1.264	0.813	0.692	0.896	1.005
YOR015W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.894	0.734	0.835	0.954	0.929	1.084	0.746	0.838	0.55	0.877	0.652	0.949	0.741	1.029	0.927	0.566	1.231	0.751
YOR017W	PET127	RNA_processing_	RNA_binding_	None	None	0.476	0.407	0.567	0.8	0.779	1.111	0.706	0.654	0.465	0.789	0.615	1.01	0.688	1.106	0.888	0.649	0.931	0.783
YOR018W	ROD1	biological_process_unknown_	molecular_function_unknown_	M/G1	None	Null	0.709	0.756	0.677	0.668	0.649	0.681	Null	0.599	1.047	0.745	0.992	0.68	0.926	0.804	0.62	0.983	1.043
YOR019W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.254	0.794	0.976	0.959	1.086	1.604	0.961	0.92	0.767	1.003	0.767	1.024	0.776	1.331	1.08	0.798	1.268	1.112
YOR020C	HSP10	protein_folding_	chaperone_	None	None	0.743	0.574	0.651	0.771	0.818	0.844	0.916	0.809	0.694	0.981	0.635	0.747	0.672	0.767	0.742	0.433	0.907	0.669
YOR021C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.709	0.341	0.422	0.463	0.696	0.916	0.807	0.705	0.711	0.784	0.668	0.79	0.742	1.039	0.854	0.621	1.079	0.735
YOR022C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.823	0.817	0.66	0.834	0.694	0.937	0.715	0.85	0.622	1.446	0.607	1.04	0.757	1.049	0.634	0.68	0.867	0.832
YOR023C	AHC1	nucleosome_disassembly_	molecular_function_unknown_	G2/M	None	0.769	0.459	0.44	0.604	0.655	0.653	0.78	0.776	0.723	0.848	0.725	0.834	0.69	0.914	0.758	0.67	0.913	0.651
YOR025W	HST3	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.249	1.707	0.253	0.361	0.414	0.66	1.033	1.081	1.085	1.033	0.648	0.714	0.53	0.692	0.834	0.942	1.494	0.923
YOR026W	BUB3	mitotic_spindle_checkpoint_	molecular_function_unknown_	None	None	0.366	0.322	0.407	Null	0.479	0.57	0.686	0.66	0.634	Null	0.517	0.638	0.686	Null	0.513	0.562	0.794	0.619
YOR027W	STI1	protein_folding_	molecular_function_unknown_	None	None	0.941	0.643	0.67	1.05	0.921	0.959	1.042	1.082	0.816	0.993	0.754	0.878	0.654	1.031	0.838	0.732	0.951	0.707
YOR031W	CRS5	biological_process_unknown_	molecular_function_unknown_	None	None	0.94	Null	0.554	0.749	Null	0.738	0.694	0.613	0.678	0.806	0.581	0.787	0.777	1.141	0.679	0.696	1.021	0.627
YOR033C	EXO1	DNA_repair_	molecular_function_unknown_	G1	None	0.7	Null	0.959	1.104	0.839	0.689	0.669	Null	0.522	0.772	0.859	1.287	0.932	1.106	0.82	0.701	0.86	Null
YOR034C	AKR2	biological_process_unknown_	molecular_function_unknown_	None	None	0.761	0.556	0.622	0.698	0.902	0.927	0.802	0.717	0.643	1.095	0.603	1.059	0.751	1.211	0.816	0.667	1.164	1.025
YOR036W	PEP12	Golgi_to_vacuole_transport_	t-SNARE_	None	None	1.077	0.785	0.696	0.537	0.674	0.617	0.658	Null	0.584	0.931	0.518	0.847	0.613	Null	0.659	0.555	0.923	1.03
YOR038C	HIR2	transcription_regulation_from_Pol_II_promoter_	transcription_co-repressor_	None	None	0.569	0.457	0.499	0.496	0.669	0.633	0.673	0.589	0.604	0.977	0.608	0.959	0.667	0.84	0.711	0.61	1.011	0.912
YOR039W	CKB2	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	casein_kinase_II_	None	None	0.675	0.409	0.661	0.864	0.872	0.984	0.716	0.587	0.552	0.669	0.652	0.748	0.818	0.878	0.859	0.46	0.829	0.644
YOR040W	GLO4	carbohydrate_metabolism_	hydroxyacylglutathione_hydrolase_	None	None	0.621	0.463	0.448	0.521	0.598	0.582	0.581	0.554	0.439	0.723	0.41	0.833	0.529	Null	0.561	0.457	0.812	0.986
YOR041C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.805	0.52	0.695	0.771	0.787	0.987	0.757	0.696	0.617	1.115	0.741	0.988	0.758	1.132	0.737	0.613	1.048	0.808
YOR042W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.753	0.607	0.661	0.644	0.682	0.664	0.706	0.672	0.611	Null	0.65	1.09	0.691	0.909	0.664	0.587	0.928	0.967
YOR043W	WHI2	biological_process_unknown_	molecular_function_unknown_	None	None	0.81	0.506	0.551	0.597	0.748	0.967	0.75	0.852	0.621	0.889	0.65	0.889	0.721	1.157	0.869	0.663	0.871	0.846
YOR045W	TOM6	mitochondrial_translocation_	protein_transporter_	None	None	0.826	0.486	0.616	0.781	0.924	1.271	1.032	0.817	0.698	0.824	0.709	0.731	0.786	1.04	1.046	0.54	1.025	0.614
YOR046C	DBP5	biological_process_unknown_	RNA_helicase_	None	None	0.82	0.564	0.41	0.518	0.528	0.619	0.756	0.608	0.681	1.052	0.604	0.909	0.666	0.909	0.635	0.602	0.738	0.736
YOR047C	STD1	biological_process_unknown_	molecular_function_unknown_	None	None	0.807	0.615	0.606	0.892	0.762	0.877	0.694	0.829	0.548	0.902	0.642	0.946	0.709	1.234	0.806	0.698	1.112	0.631
YOR048C	RAT1	rRNA_processing*_	5'-3'_exoribonuclease_	None	None	0.813	0.496	0.397	0.554	0.564	0.807	0.825	0.772	0.737	1.15	0.666	1.192	0.783	1.202	0.794	0.715	0.952	0.885
YOR051C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.967	0.602	0.478	0.552	0.623	0.607	0.647	0.667	0.639	0.775	0.707	0.809	0.652	0.839	0.726	0.629	0.856	0.665
YOR052C	None	biological_process_unknown_	molecular_function_unknown_	M/G1	None	2.091	1.309	Null	0.906	0.464	0.961	0.737	0.754	0.642	1.066	0.487	1.007	0.616	0.766	0.539	0.495	0.894	0.705
YOR053W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.825	0.525	0.513	0.679	0.757	0.638	0.692	0.679	0.602	0.833	0.789	0.838	0.727	0.946	0.853	0.691	0.876	0.645
YOR054C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.762	0.656	0.352	0.491	0.457	0.673	0.556	0.516	0.456	0.936	0.5	0.82	0.605	0.803	0.545	0.566	0.752	0.718
YOR055W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.719	0.639	0.577	0.645	Null	0.648	0.568	0.673	0.499	0.685	0.656	0.767	0.587	1.084	0.737	0.651	0.849	Null
YOR056C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.775	0.407	0.247	0.448	0.538	0.837	0.752	0.834	0.69	1.058	0.518	0.756	0.674	1.138	0.599	0.686	0.956	0.931
YOR058C	ASE1	mitotic_anaphase_B*_	microtubule_binding_	G2/M	G2/M	0.414	Null	0.23	1.098	0.376	0.541	1.085	1.14	1.105	1.218	0.569	0.659	0.425	0.711	1.439	0.726	0.92	1.223
YOR059C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.792	0.474	0.611	0.665	0.845	1.257	0.967	0.814	0.601	0.771	0.542	0.736	0.629	Null	0.908	0.632	0.885	0.858
YOR060C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.738	0.441	0.479	0.516	0.57	0.621	0.652	0.655	0.517	0.74	0.47	0.709	0.579	1.062	0.595	0.476	0.919	0.985
YOR061W	CKA2	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	casein_kinase_II_	None	None	0.95	0.532	0.691	0.658	0.976	0.829	0.802	0.893	0.769	0.934	0.791	0.903	0.81	1.327	1.08	0.679	1.16	0.712
YOR062C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1	0.743	0.694	0.518	0.571	0.685	0.575	0.688	0.478	0.759	0.483	0.639	0.647	1.065	0.718	0.412	1.006	Null
YOR063W	RPL3	protein_biosynthesis*_	structural_protein_of_ribosome_	None	None	1.04	0.553	0.663	0.724	0.902	1.033	0.907	0.826	0.707	0.976	0.791	0.976	0.9	1.274	1.326	0.764	1.133	0.766
